target_order,plugin,prefix,candidate_folders,in_downloaded_archive,in_mv_loadorder,in_nolvus_plugins,in_mv_install,in_nolvus_install
2810,Snazzy Interiors - Frostfruit Inn - A Cats Life patch.esp,Snazzy Interiors,Snazzy Interiors Patch Collection2 (keep),,,,,
2813,Snazzy Interiors - Frostfruit Inn - Cheesemod patch.esp,Snazzy Interiors,Snazzy Interiors Patch Collection2 (keep),,,,,
2815,Snazzy Interiors - Frostfruit Inn - LotD patch.esp,Snazzy Interiors,Snazzy Interiors Patch Collection2 (keep),,,,,
2816,Snazzy Interiors - Frostfruit Inn - SUDs patch.esp,Snazzy Interiors,Snazzy Interiors Patch Collection2 (keep),,,,,
2817,Snazzy Interiors - JKs Palace of the Kings - 3DNPC patch.esp,Snazzy Interiors,Snazzy Interiors Patch Collection2 (keep),,,,,
2818,Snazzy Interiors - JKs Palace of the Kings - Amulets of Skyrim patch.esp,Snazzy Interiors,Snazzy Interiors Patch Collection2 (keep),,,,,
2819,Snazzy Interiors - JKs Palace of the Kings - AYOP TG patch.esp,Snazzy Interiors,Snazzy Interiors Patch Collection2 (keep),,,,,
2820,Snazzy Interiors - JKs Palace of the Kings - Cheesemod patch.esp,Snazzy Interiors,Snazzy Interiors Patch Collection2 (keep),,,,,
2821,Snazzy Interiors - JKs Palace of the Kings - Citizens of Tamriel patch.esp,Snazzy Interiors,Snazzy Interiors Patch Collection2 (keep),,,,,
2822,Snazzy Interiors - JKs Palace of the Kings - Cloaks of Skyrim patch.esp,Snazzy Interiors,Snazzy Interiors Patch Collection2 (keep),,,,,
2823,Snazzy Interiors - JKs Palace of the Kings - CRF patch.esp,Snazzy Interiors,Snazzy Interiors Patch Collection2 (keep),,,,,
2825,Snazzy Interiors - JKs Palace of the Kings - Skyrim Sewers patch.esp,Snazzy Interiors,Snazzy Interiors Patch Collection2 (keep),,,,,
2828,Snazzy Interiors - Kynesgrove Braidwood Inn - 3DNPC patch.esp,Snazzy Interiors,Snazzy Interiors Patch Collection2 (keep),,,,,
2831,Snazzy Interiors - Kynesgrove Braidwood Inn - Cheesemod patch.esp,Snazzy Interiors,Snazzy Interiors Patch Collection2 (keep),,,,,
2834,Snazzy Interiors - Kynesgrove Braidwood Inn - LotD patch.esp,Snazzy Interiors,Snazzy Interiors Patch Collection2 (keep),,,,,
2835,Snazzy Interiors - Kynesgrove Braidwood Inn - SUDs patch.esp,Snazzy Interiors,Snazzy Interiors Patch Collection2 (keep),,,,,
2836,Snazzy Interiors - Markarth AIO - 3DNPC patch.esp,Snazzy Interiors,Snazzy Interiors Patch Collection2 (keep),,,,,
