folder,target_line,category,nexus_mod_id,nexus_mod_name,nexus_author,match_method,confidence,suggested_file_id,suggested_file_name,suggested_file_version,file_category,related_plugins,notes
LOTD PBR Odds and Ends,170,nexus_found,166864,LOTD PBR Odds and Ends,dirigibalistic,name_exact,high,697724,LOTD PBR Odds and Ends 4K,0.1,MAIN,,other files match equally well: LOTD PBR Odds and Ends 2K | folder matches the file name
Security Overhaul SKSE PBR,171,nexus_found,152269,Security Overhaul SKSE PBR,KawaiiChamp,name_exact,high,656787,Security Overhaul SKSE PBR - 1K,2.0.0,MAIN,,other files match equally well: Security Overhaul SKSE PBR - 2K | Security Overhaul SKSE PBR - 4K | folder matches the file name
Sanguine Symphony - PBR,172,nexus_found,170736,Sanguine Symphony - PBR,Addi (uploader Addidi),name_exact,high,713865,Sanguine Symphony - PBR,1.11,OLD_VERSION,Sanguine Symphony - PBR.esp,linked plugin(s) found in this mod's files: Sanguine Symphony - PBR.esp | folder matches the file name | suggested file only exists as OLD_VERSION; current MAIN: Sanguine Symphony and DBF - PBR v1.22 (#786099)
Tomato's PBR Forts and Dungeons,174,nexus_found,134372,Tomato's PBR Forts and Dungeons,Tomatokillz,name_exact,high,563922,Tomato's PBR Imperial Forts and Dungeons 4k,1.0.PBR,OLD_VERSION,,folder matches the file name | suggested file only exists as OLD_VERSION; current MAIN: Tomato's Imperial Forts PBR 4k v1.1.PBR (#580141)
Texture Patch for Vanaheimr PBR Landscapes,175,nexus_found,140780,Realistic PBR Footprints,jepster,name_exact,high,655124,Texture Patch for Vanaheimr PBR Landscapes,1.0,OPTIONAL,,folder matches the file name | matched a file of a mod already identified for other folders (second pass)
Realistic PBR Footprints,176,nexus_found,140780,Realistic PBR Footprints,jepster,name_exact,high,600912,Realistic PBR Footprints,1.2,MAIN,Footprints - PBR Patch.esp;Footprints - SandPatch PBR Patch.esp,folder matches the file name
Embers XD PBR,177,nexus_found,186037,Embers XD - PBR,Leo,name_exact,high,779355,Embers XD PBR,1.0.0,MAIN,,folder matches the file name
Tomato's Windhelm PBR - 2K,178,not_found,,,,,,,,,,,"closest: Mrf's Windhelm (#65256, s=0.54, dl=101365)"
Tomato's Riften PBR - 2k,179,not_found,,,,,,,,,,,"closest: Mrf's Riften (#42737, s=0.53, dl=104135)"
Tomato's PBR Whiterun - Darker wood,180,nexus_found,148535,Tomato's PBR Whiterun - Darker wood,jepster,name_exact,high,620812,Tomato's PBR Whiterun - Darker wood,0.2,MAIN,,folder matches the file name
